Name,Material,Spec,Quantity,Unit,Remarks,Time
,铝合金,350-喷砂三酸拉丝亮金（3.05米）,220,根,,2020-04-04 03:55:22
,铝合金,320-喷砂三酸拉丝亮金（3.05米）,304,根,,2020-04-04 03:54:43
,型材,PF07-28*48-3.02米,931,根,,2020-04-04 03:43:45
,纸箱,小纸箱（软）,540,个,,2020-04-04 03:37:21
,纸箱,小纸箱（硬）3300*160*110,388,个,,2020-04-04 03:36:08
,辅料,珍珠棉,4,卷,,2020-04-04 03:33:21
,铝合金,350-白砂纹（3.07米）,2580,根,,2020-04-04 03:32:23
,铝合金,350-喷砂拉丝亚黑（3.05米）,1170,根,,2020-04-04 03:31:38
,胶水,PUR胶,10,桶,,2020-04-04 03:30:21
,胶水,EVA胶,1,袋,,2020-04-04 03:29:51
,方料,23*43-3.02米,1360,根,,2020-04-04 03:28:54
,板材,双面桃花芯板1220*2440*5mm,15,张,,2020-04-04 03:25:19
,板材,15厘松木板1220*2440*15,53,张,,2020-04-04 03:15:22
,方料,31*35-3.02米,1122,根,,2020-04-04 03:07:52
,方料,19*35（34）-3.02米,1553,根,,2020-04-04 02:59:07
,方料,30*48-3.02米,808,根,,2020-04-04 02:55:40
,方料,15*28-3.02米,1550,根,,2020-04-04 02:52:29
,方料,20*40-3.06米,1359,根,,2020-04-04 02:46:39
,方料,21*40-3.02米,16108,根,,2020-04-04 02:45:00
,方料,20*22-3.02米,758,根,,2020-04-04 02:42:37
,方料,22*53-3.02米,1380,根,,2020-04-04 02:41:38
,型材,LF02-30*50-3.06米,18,根,,2020-04-03 14:25:11
,型材,LF02-30*50-3.02米,4218,根,,2020-04-03 14:24:40
,型材,LF01-25*45-3.02米,100,根,,2020-04-03 14:23:59
,方料,15*35.5-1.9米,455,根,,2020-04-03 14:19:48
,型材,PF05-15*40-3.02米,1277,根,,2020-04-03 14:16:41
,型材,PF15-20*60-3.02米,18,根,,2020-04-03 14:13:48
,型材,PF12-22*20-3.02米,180,根,,2020-04-03 14:13:13
