Name,Material,Spec,Quantity,Unit,Remarks,Time
,铝合金,ZA35-铬化（3.07米）,80,根,,2020-06-25 05:39:50
,铝合金,ZA34-白砂纹（3.07米）,498,根,,2020-06-25 05:38:35
,铝合金,ZA33-铬化（3.07米）,145,根,,2020-06-25 05:37:57
,铝合金,ZA33-白砂纹（3.07米）,276,根,,2020-06-25 05:36:35
,铝合金,ZA33-喷砂拉丝亮金（3.05米）,1649,根,,2020-06-25 05:36:11
,铝合金,ZA33-喷砂拉丝亚黑（3.05米）,437,根,,2020-06-25 05:35:15
,铝合金,ZA32-喷砂拉丝亮金（3.05米）,64,根,,2020-06-25 05:34:34
,铝合金,ZA32-喷砂拉丝亚黑（3.05米）,78,根,,2020-06-25 05:33:01
,铝合金,ZA29 (H381122)-铬化（3.07米）,1180,根,,2020-06-25 05:32:23
,铝合金,P400900(圆）-不时效（3.07）,2040,根,,2020-06-25 05:31:43
,铝合金,P400900(圆）-不时效（1.93）,1000,根,,2020-06-25 05:31:10
,铝合金,508-黑砂纹（3.07米）,360,根,,2020-06-25 05:30:06
,铝合金,508-铬化（3.07米）,456,根,,2020-06-25 05:29:38
,铝合金,508-白砂纹（3.07米）,258,根,,2020-06-25 05:29:03
,铝合金,508-灰砂纹（3.07米）,230,根,,2020-06-25 05:28:04
,铝合金,508-棕砂纹（3.07米）,289,根,,2020-06-25 05:27:06
,铝合金,508-喷砂拉丝亚黑（3.05米）,1643,根,,2020-06-25 05:26:32
,铝合金,508-喷砂拉丝亚银（3.05米）,1215,根,,2020-06-25 05:25:59
,铝合金,508-喷砂三酸拉丝亮银（3.05米）,30,根,,2020-06-25 05:25:02
,铝合金,508-喷砂拉丝亚银（3米）,210,根,,2020-06-25 05:24:48
,铝合金,508-喷砂三酸拉丝亮银（3.05米）,30,根,,2020-06-25 05:23:39
,铝合金,508-喷砂三酸拉丝亮金（3.05米）,886,根,,2020-06-25 05:23:09
,铝合金,350-黑砂纹（3.07米）,230,根,,2020-06-25 05:22:29
,铝合金,350-黄砂纹（3.07米）,363,根,,2020-06-25 05:20:44
,铝合金,350-铬化（3.07米）,1224,根,,2020-06-25 05:20:05
,铝合金,350-蓝砂纹（3.07米）,198,根,,2020-06-25 05:19:03
,铝合金,350-绿砂纹（3.07米）,540,根,,2020-06-25 05:18:18
,铝合金,350-红砂纹（3.07米）,337,根,,2020-06-25 05:17:37
,铝合金,350-粉色砂纹（3.07米）,34,根,,2020-06-25 05:16:59
,铝合金,350-白砂纹（3.07米）,1530,根,,2020-06-25 05:16:05
,铝合金,350-灰砂纹（3.07米）,392,根,,2020-06-25 05:14:47
,铝合金,350-海蓝砂纹（3.07米）,34,根,,2020-06-25 05:13:57
,铝合金,350-浅咖色砂纹（3.07米）,1099,根,,2020-06-25 05:12:11
,铝合金,350-橙色砂纹（3.07米）,34,根,,2020-06-25 05:11:28
,铝合金,350-棕色砂纹（3.07米）,354,根,,2020-06-25 05:10:48
,铝合金,350-柠檬黄砂纹（3.07米）,17,根,,2020-06-25 05:10:07
,铝合金,350-喷砂拉丝亚黑（3.05米）,2722,根,,2020-06-25 05:09:16
,铝合金,350-喷砂拉丝亚银（3.05米）,1341,根,,2020-06-25 05:08:47
,铝合金,350-喷砂三酸拉丝玫瑰金（3.05米）,1803,根,,2020-06-25 05:06:44
,铝合金,350-喷砂三酸拉丝亮银（3.05米）,20,根,,2020-06-25 05:05:50
,铝合金,350-喷砂三酸拉丝亮金（3.05米）,10,根,,2020-06-25 05:04:35
,铝合金,350-咖色砂纹（3.07米）,152,根,,2020-06-25 05:03:25
,铝合金,320-铬化（3.07米）,40,根,,2020-06-25 05:02:31
,铝合金,320-白砂纹（3.07米）,106,根,,2020-06-25 05:02:02
,铝合金,320-喷砂拉丝亚黑（3.05米）,1058,根,,2020-06-25 05:01:16
,铝合金,320-喷砂三酸拉丝亮银（3.05米）,60,根,,2020-06-25 04:59:23
,铝合金,320-喷砂三酸拉丝亮金（3.05米）,2553,根,,2020-06-25 04:58:19
,铝合金,350-红砂纹（3.07米）,48,根,,2020-06-22 08:48:06
,铝合金,350-蓝砂纹（3.07米）,48,根,,2020-06-22 08:41:24
,铝合金,350-蓝砂纹（3.07米）,199,根,,2020-06-22 08:40:58
,铝合金,350-黑砂纹（3.07米）,10,根,,2020-06-22 08:40:18
,铝合金,350-灰砂纹（3.07米）,104,根,,2020-06-22 08:39:12
,铝合金,350-绿砂纹（3.07米）,28,根,,2020-06-22 08:38:27
,铝合金,350-白砂纹（3.07米）,4878,根,,2020-06-22 08:37:48
,铝合金,508-铬化（3.07米）,786,根,,2020-06-21 13:36:56
,型材,LF03-30*35（5）-3.02米,7012,根,,2020-05-31 14:33:14
,方料,21*35.5-3.02米,16100,根,,2020-05-15 04:10:55
,铝合金,350-喷砂三酸拉丝玫瑰金（3.05米）,2,根,,2020-05-15 04:07:48
,铝合金,350-黑砂纹（3.07米）,28,根,,2020-05-15 04:07:06
,辅料,无纺布（80cm*10克）,1,卷,,2020-05-15 03:58:11
,纸箱,小纸箱（硬）3300*160*110,5,个,,2020-05-15 03:56:48
,铝合金,320-喷砂拉丝亚银（3.05米）,202,根,,2020-05-15 03:56:12
,铝合金,350-喷砂三酸拉丝玫瑰金（3.05米）,2,根,,2020-05-15 03:55:04
,铝合金,350-黑砂纹（3.07米）,28,根,,2020-05-15 03:54:27
,方料,30*50-3.02米,20,根,,2020-05-15 03:50:21
,型材,LF02-30*50-3.02米,92,根,,2020-05-15 03:49:33
,铝合金,350-白砂纹（3.07米）,4,根,,2020-05-15 03:48:34
,铝合金,320-喷砂拉丝亚银（3.05米）,120,根,,2020-05-15 03:48:06
,铝合金,350-喷砂三酸拉丝亮金（4.35）,280,根,,2020-05-15 03:46:58
,铝合金,350-灰砂纹（3.07米）,1,根,,2020-05-15 03:46:27
,纸箱,大纸箱3300*210*170,3,个,,2020-05-15 03:45:48
,纸箱,小纸箱（硬）3300*160*110,12,个,,2020-05-15 03:45:13
,木皮,05#麦格利38Q ( 30cm),315,米,,2020-05-15 03:44:10
,木皮,26#楸木188-1C (5.5cm ),315,米,,2020-05-15 03:43:24
,木皮,19#榆木12-2S (16cm ),335,米,,2020-05-15 03:41:52
,铝合金,350-铬化（3.07米）,40,根,,2020-05-15 03:40:42
,纸箱,大纸箱3300*210*170,16,个,,2020-05-15 03:40:10
,胶水,EVA胶,1,袋,,2020-05-15 03:38:07
,纸箱,大纸箱3300*210*170,30,个,,2020-05-15 03:35:35
,纸箱,小纸箱（硬）3300*160*110,13,个,,2020-05-15 03:34:43
,型材,PF01-18*33-3.02米,384,根,,2020-05-15 03:33:33
,型材,PF01-18*33-3.02米,384,根,,2020-05-15 03:32:14
,型材,PF08-48*28-3.02米,40,根,,2020-05-15 03:30:31
,型材,PF23-18（宽）*40（高）-3.02米,165,根,,2020-05-15 03:27:25
,型材,PF06-28*33-3.02米,60,根,,2020-05-15 03:24:04
,型材,PF07-28*48-3.02米,360,根,,2020-05-15 03:23:26
,铝合金,320-喷砂拉丝亚银（3.05米）,160,根,,2020-05-15 03:22:43
,铝合金,320-喷砂拉丝亚银（3.05米）,40,根,,2020-05-15 03:21:27
,铝合金,350-喷砂拉丝亚黑（3.05米）,40,根,,2020-05-15 03:20:37
,铝合金,350-蓝砂纹（3.07米）,40,根,,2020-05-15 03:19:39
,铝合金,350-绿砂纹（3.07米）,40,根,,2020-05-15 03:19:08
,铝合金,350-喷砂三酸拉丝玫瑰金（3.05米）,200,根,,2020-05-15 03:18:38
,木皮,21#白木（30cm),255,米,,2020-05-15 03:17:57
,木皮,26#楸木188-1C (5.5cm ),614,米,,2020-05-15 03:16:39
,木皮,19#榆木12-2S (9.2cm ),250,米,,2020-05-15 03:15:56
,木皮,15#铁刀2238Q（30cm),300,米,,2020-05-15 03:15:13
,木皮,14#银梨1Q （8cm ）,855,米,,2020-05-15 03:14:02
,木皮,14#银梨1Q （9.2cm ）,500,米,,2020-05-15 03:04:33
,木皮,20#黑木(9.2cm ),335,米,,2020-05-15 03:03:30
,木皮,18#橡木108DS(8cm ),1200,米,,2020-05-15 03:02:19
,型材,LF03-30*35（5）-3.02米,6,根,,2020-04-18 07:36:58
,型材,PF01-18*33-3.02米,6,根,,2020-04-18 07:36:16
,铝合金,350-喷砂三酸拉丝玫瑰金（3.05米）,9,根,,2020-04-18 07:36:02
,铝合金,ZA33-铬化（3.07米）,48,根,,2020-04-18 07:35:44
,纸箱,大纸箱3300*210*170,1,个,,2020-04-18 07:35:13
,纸箱,小纸箱（硬）3300*160*110,1,个,,2020-04-18 07:34:51
,纸箱,大纸箱3300*210*170,6,个,,2020-04-18 07:34:03
,纸箱,小纸箱（硬）3300*160*110,37,个,,2020-04-18 07:33:28
,胶水,PUR胶,1,桶,,2020-04-18 07:32:59
,铝合金,320-喷砂拉丝亚银（3.05米）,2,根,,2020-04-18 07:32:33
,铝合金,350-白砂纹（3.07米）,1060,根,,2020-04-18 07:32:00
,铝合金,350-喷砂三酸拉丝亮金（3.05米）,200,根,,2020-04-18 07:31:34
,铝合金,350-喷砂拉丝亚黑（3.05米）,201,根,,2020-04-18 07:31:09
,铝合金,350-喷砂三酸拉丝玫瑰金（3.05米）,43,根,,2020-04-18 07:30:46
,型材,PF07-28*48-3.02米,126,根,,2020-04-18 07:30:16
,型材,PF04-15*28-3.02米,80,根,,2020-04-18 07:29:39
,木皮,22#银橡7S (8cm ),255,米,,2020-04-18 07:29:20
,木皮,23#黑橡24S (30cm ),315,米,,2020-04-18 07:28:58
,木皮,11#秋香801c (6.5cm),670,米,,2020-04-18 07:28:25
,板材,15厘松木板1220*2440*15,54,张,,2020-04-18 07:18:14
,铝合金,508-黑砂纹（3.07米）,30,根,,2020-04-18 07:17:37
,铝合金,350-喷砂三酸拉丝亮金（3.05米）,80,根,,2020-04-18 07:17:11
,铝合金,350-红砂纹（3.07米）,80,根,,2020-04-18 07:16:37
,铝合金,350-绿砂纹（3.07米）,80,根,,2020-04-18 07:16:14
,型材,PF09-20*50.8-3.02米,37,根,,2020-04-18 07:15:36
,型材,LF02-30*50-3.06米,91,根,,2020-04-18 07:15:18
,型材,LF02-30*50-3.02米,91,根,,2020-04-18 07:14:59
,型材,LF01-25*45-3.02米,77,根,,2020-04-18 07:14:40
,型材,PF01-18*33-3.02米,271,根,,2020-04-18 07:14:15
,胶水,EVA胶,1,袋,,2020-04-18 07:13:53
,纸箱,小纸箱（硬）3300*160*110,7,个,,2020-04-18 07:13:27
,纸箱,大纸箱3300*210*170,38,个,,2020-04-18 07:13:11
,木皮,18#橡木108DS(16cm ),600,米,,2020-04-18 07:12:47
,木皮,19#榆木12-2S (30cm ),170,米,,2020-04-18 07:12:20
,木皮,24#黑胡桃（1001S 8cm）,340,米,,2020-04-18 07:11:50
,铝合金,350-铬化（3.07米）,160,根,,2020-04-18 06:45:30
,铝合金,350-灰砂纹（3.07米）,4,根,,2020-04-18 06:45:09
,铝合金,320-喷砂拉丝亚银（3.05米）,122,根,,2020-04-18 06:44:40
,型材,PF31-20*22-12U-2.43米（LVL）,1141,根,,2020-04-18 06:44:08
,型材,PF31-20*22-12U-2.43米（LVL）,1141,根,,2020-04-18 06:44:05
,方料,19*35（34）-3.02米,1535,根,,2020-04-18 06:42:50
,配件,弹片,7000,个,,2020-04-18 06:42:02
,配件,角码（银色B片，1.0厚）,5000,个,,2020-04-18 06:41:23
,纸箱,大纸箱3300*210*170,6,个,,2020-04-18 06:40:45
,纸箱,小纸箱（硬）3300*160*110,7,个,,2020-04-18 06:40:24
,木皮,27#天然白木(7.5cm ),2400,米,,2020-04-18 06:39:58
,型材,PF01-18*33-3.02米,328,根,,2020-04-18 06:35:59
,胶水,EVA胶,1,袋,,2020-04-18 06:35:42
,方料,LVL 21*19*2.43米,1152,根,,2020-04-18 06:33:30
,铝合金,ZA33-铬化（3.07米）,35,根,,2020-04-18 06:32:42
,铝合金,350-黑砂纹（3.07米）,18,根,,2020-04-18 06:32:09
,铝合金,508-喷砂拉丝亚黑（3.05米）,44,根,,2020-04-18 06:31:45
,铝合金,508-喷砂拉丝亚银（3.05米）,30,根,,2020-04-18 06:31:17
,铝合金,508-喷砂三酸拉丝亮金（3.05米）,46,根,,2020-04-18 06:30:46
,铝合金,350-蓝砂纹（3.07米）,40,根,,2020-04-18 06:30:11
,铝合金,350-绿砂纹（3.07米）,40,根,,2020-04-18 06:28:22
,铝合金,350-红砂纹（3.07米）,40,根,,2020-04-18 06:26:44
,铝合金,350-白砂纹（3.07米）,40,根,,2020-04-18 06:26:20
,铝合金,350-黑砂纹（3.07米）,40,根,,2020-04-18 06:25:50
,铝合金,350-喷砂拉丝亚银（3.05米）,40,根,,2020-04-18 06:25:23
,铝合金,350-喷砂三酸拉丝亮金（3.05米）,40,根,,2020-04-18 06:24:56
,铝合金,320-白砂纹（3.07米）,40,根,,2020-04-18 06:24:30
,铝合金,320-喷砂拉丝亚黑（3.05米）,40,根,,2020-04-18 06:24:07
,铝合金,320-喷砂拉丝亚银（3.05米）,40,根,,2020-04-18 06:23:43
,铝合金,320-喷砂三酸拉丝亮金（3.05米）,40,根,,2020-04-18 06:23:15
,铝合金,320-喷砂拉丝亚银（3.05米）,80,根,,2020-04-18 06:22:44
,铝合金,508-铬化（3.07米）,64,根,,2020-04-18 06:22:02
,铝合金,350-铬化（3.07米）,120,根,,2020-04-18 06:21:41
,铝合金,320-铬化（3.07米）,120,根,,2020-04-18 06:20:40
,纸箱,小纸箱（硬）3300*160*110,25,个,,2020-04-18 06:20:16
,木皮,02#橡木609S ( 8cm),300,米,,2020-04-18 06:16:57
,型材,PF01-18*33-3.02米,108,根,,2020-04-18 06:16:09
,铝合金,ZA33-喷砂拉丝亚黑（3.05米）,19,根,,2020-04-18 06:15:44
,纸箱,大纸箱3300*210*170,3,个,,2020-04-18 06:15:03
,木皮,23#黑像24S（8cm),238,米,,2020-04-18 06:14:31
,铝合金,320-铬化（3.07米）,539,根,,2020-04-17 06:38:10
,型材,PF01-18*33-3.02米,108,根,,2020-04-16 04:22:44
,纸箱,大纸箱3300*210*170,14,个,,2020-04-16 04:18:44
,型材,PF01-18*33-3.02米,55,根,,2020-04-16 04:18:19
,型材,PF31-20*22-9U-2.43米（LVL）,33,根,,2020-04-16 04:18:03
,木皮,27#天然白木(7.5cm ),279,米,,2020-04-16 04:17:13
,木皮,20#黑木(14cm ),335,米,,2020-04-16 04:16:19
,纸箱,大纸箱3300*210*170,1,个,,2020-04-16 04:15:48
,纸箱,小纸箱（硬）3300*160*110,1,个,,2020-04-16 04:15:20
,型材,LF03-30*35（7）-3.02米,45,根,,2020-04-16 04:14:28
,铝合金,350-喷砂拉丝亚黑（3.05米）,40,根,,2020-04-16 04:13:47
,纸箱,大纸箱3300*210*170,3,个,,2020-04-12 10:37:43
,辅料,珍珠棉,1,卷,,2020-04-12 10:37:20
,配件,弹片,6000,个,,2020-04-12 10:36:59
,型材,PF09-20*50.8-3.02米,108,根,,2020-04-12 10:36:39
,铝合金,350-喷砂拉丝亚银（3.05米）,80,根,,2020-04-12 10:36:20
,铝合金,350-黑砂纹（3.07米）,37,根,,2020-04-12 10:35:59
,木皮,24#黑胡桃1001S (30cm ),342,米,,2020-04-12 10:35:26
,配件,角码（银色B片，1.0厚）,4000,个,,2020-04-12 10:34:14
,木皮,23#黑橡24S (30cm ),254,米,,2020-04-12 10:33:48
,铝合金,350-白砂纹（3.07米）,10,根,,2020-04-12 10:33:07
,铝合金,ZA34-白砂纹（3.07米）,82,根,,2020-04-12 10:32:44
,铝合金,ZA57-铬化（3.07米）,397,根,,2020-04-12 10:32:13
